"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10955",-0.6461,1.62,70.9054,4
"10956",1.1903,-0.17,47.7451,2.5
"10957",-0.8455,-7,66.2451,4
"10958",0.424,-0.17,42.3414,1.5
"10959",1.8857,0.94,47.5427,1.5
"10960",-1.2803,0.1,46.6622,0.25
"10961",-0.9756,-0.29,47.4158,2
"10963",-0.3755,0.1,40.3813,2.5
"10964",-0.3053,-0.69,28.7881,1.5
"10965",0.6354,0.1,59.7878,3
"10966",-0.791,0.1,38.8833,1.5
"10968",-0.6714,-1.68,26.0137,3
"10969",-0.1126,0.1,52.7507,2.5
"10971",0.2416,0.51,52.6237,4
"10972",-1.1636,-0.29,45.9315,2
"10973",-0.0266,-0.61,46.9984,1.5
"10974",-1.3048,-1.58,25.6894,2.5
"10977",-0.0098,-1.41,55.1145,2
"10979",0.7605,1.62,68.1269,3
"10980",-0.974,1.62,29.4203,2
"10981",-0.0698,1.62,47.4528,1.5
"10982",1.4717,-1.41,59.1187,2
"10983",1.3683,-1.41,45.8026,2.5
"10986",0.4073,-2.51,53.1904,1.5
"10987",-1.1008,-7,46.5175,2.5
"10991",1.5623,0.95,55.7646,3
"10992",-0.1505,0.38,61.9326,1.5
"10993",-0.6394,0.1,51.6494,1.5
"10995",-0.0931,-0.17,49.7912,0.25
"10998",-0.4434,0.94,51.1024,2
"11000",-0.4638,-0.56,59.968,2.5
"11002",0.1845,0.95,56.4937,3
"11003",0.3815,-9,51.9567,1
"11004",-0.8725,-0.73,31.9121,1.5
"11005",-1.429,-1.41,40.1771,3
"11007",0.3009,-1.24,51.0569,1.5
"11010",0.2592,-2.92,47.236,2
"11014",-0.5934,-0.17,53.4318,1.5
"11015",-0.4348,-7,49.5271,3
"11017",0.0435,1.34,57.0736,3
"11018",-0.076,-9,38.1049,0.5
"11019",0.7585,-0.17,51.3642,4
"11020",-0.2606,0.1,55.5163,3
"11021",-0.7664,-0.3,31.3999,2.5
"11025",-1.2268,-9,42.567,2
"11026",-1.2142,-2.92,31.6121,1.5
"11029",0.2833,-0.97,49.6647,2
"11031",0.2679,-1.02,46.3903,1
"11036",0.281,-0.3,51.7325,3.5
"11037",-1.3682,-0.56,52.1655,3
"11038",-0.1112,-0.17,51.0925,2
"11041",-0.5673,1.34,53.1822,3.5
"11042",-1.0067,1.62,35.5577,2.5
